stimulus,adj_stimulus,raw_count,step_count
255,1,46,12
0,0,2,1
255,1,71,19
0,0,1,0
255,1,52,13
0,0,2,1
255,1,85,29
0,0,1,0
255,1,69,18
0,0,5,4
255,1,62,15
0,0,2,1
255,1,74,22
0,0,4,3
255,1,65,16
0,0,7,5
255,1,78,25
0,0,8,6
255,1,69,18
0,0,3,2
255,1,79,26
0,0,5,4
255,1,80,27
0,0,15,11
255,1,61,15
0,0,10,7
255,1,75,23
0,0,13,10
255,1,72,20
0,0,11,8
255,1,85,29
0,0,10,7
255,1,65,16
0,0,12,9
255,1,76,24
0,0,7,5
255,1,73,21
0,0,8,6
255,1,70,19
0,0,11,8
255,1,72,20
0,0,12,9
255,1,53,14
0,0,10,7
255,1,68,17
0,0,7,5
255,1,75,23
0,0,5,4
255,1,69,18
0,0,4,3
255,1,73,21
0,0,5,4
255,1,57,15
0,0,8,6
255,1,80,27
0,0,7,5
255,1,67,17
0,0,4,3
255,1,84,28
0,0,7,5
